FID	Name	Lattitude	Longitude
0	6	25.532878	82.219538
4	7	25.498798	82.325899
5	8	25.499271	82.326461
6	9	25.498444	82.327405
7	10	25.507117	82.322719
8	11	25.507048	82.320287
10	12	25.503529	82.32337
9	13	25.503829	82.321832
11	14	25.517438	82.334767
12	15	25.505245	82.339008
13	16	25.495743	82.327753
14	17	25.505902	82.265428
15	18	25.506466	82.263584
16	19	25.513763	82.234354
17	20	25.497707	82.333132
18	22	25.505308	82.251023
19	23	25.512789	82.237565
20	24	25.496567	82.307497
21	25	25.493549	82.27155
22	26	25.501139	82.276757
23	27	25.498745	82.313872
24	28	25.499151	82.315187
25	29	25.492871	82.308129
26	30	25.507329	82.254432
27	31	25.510336	82.26211
28	32	25.495845	82.285183
29	33	25.496683	82.324601
30	34	25.508052	82.250981
31	35	25.519888	82.231219
32	36	25.503454	82.313807
33	37	25.512947	82.341541
34	38	25.490935	82.298188
35	39	25.50034	82.27102
36	40	25.499215	82.265457
37	41	25.514838	82.24678
38	42	25.508207	82.260288
39	43	25.515287	82.247542
40	44	25.514931	82.248486
41	45	25.491626	82.309456
42	46	25.494086	82.305186
43	47	25.494769	82.278539
44	48	25.494016	82.279351
45	49	25.494964	82.282038
46	50	25.509644	82.321123
47	51	25.513945	82.238662
48	52	25.511479	82.246883
49	53	25.514319	82.265313
50	54	25.499697	82.279585
51	55	25.497188	82.268328
52	56	25.51448	82.258496
53	57	25.50096	82.28632
54	58	25.500776	82.29702
55	59	25.506074	82.273236
56	60	25.502969	82.293054
57	61	25.502587	82.288911
58	62	25.498981	82.332348
59	63	25.508382	82.32254
60	64	25.508515	82.322719
61	65	25.501108	82.314164
62	67	25.52231	82.220271
63	68	25.514461	82.228026
64	69	25.521047	82.232468
65	70	25.516554	82.239503
66	71	25.514735	82.246201
67	72	25.510831	82.245306
68	73	25.503361	82.248412
69	74	25.503724	82.253006
70	75	25.504425	82.253312
71	76	25.504825	82.253636
72	77	25.505038	82.264774
73	78	25.492132	82.280977
74	79	25.493964	82.285489
75	80	25.494401	82.316397
76	81	25.508892	82.324085
77	82	25.496841	82.330634
78	83	25.51631	82.335716
79	84	25.505343	82.320221
80	85	25.502934	82.337627
81	86	25.500155	82.278402
82	87	25.505216	82.277573
83	88	25.503465	82.27374
84	89	25.499734	82.269522
85	90	25.524122	82.228108
86	91	25.51658	82.227577
87	92	25.512331	82.249405
88	93	25.511879	82.249363
89	94	25.499158	82.315149
90	95	25.504346	82.335206
91	96	25.496622	82.33718
92	97	25.517252	82.227529
93	98	25.532878	82.219538
94	99	25.52481	82.217899
95	100	25.518436	82.333019
96	101	25.502024	82.337584
97	102	25.495165	82.335551
98	103	25.498798	82.325899
99	104	25.499271	82.326461
100	105	25.498444	82.327405
101	106	25.507117	82.322719
102	107	25.507048	82.320287
103	108	25.503829	82.321832
104	109	25.503529	82.32337
105	110	25.517438	82.334767
106	111	25.505245	82.339008
107	112	25.495743	82.327753
108	113	25.505902	82.265428
109	114	25.506466	82.263584
110	115	25.513763	82.234354
111	116	25.497707	82.333132
112	117	25.504868	82.268001
113	118	25.505308	82.251023
114	119	25.512789	82.237565
115	120	25.496567	82.307497
116	121	25.493549	82.27155
117	122	25.501139	82.276757
118	123	25.498745	82.313872
119	124	25.499151	82.315187
120	125	25.492871	82.308129
121	126	25.507329	82.254432
122	127	25.510336	82.26211
123	128	25.495845	82.285183
124	129	25.496683	82.324601
125	130	25.508052	82.250981
126	131	25.519888	82.231219
127	132	25.503454	82.313807
128	134	25.512947	82.341541
129	135	25.490935	82.298188
130	136	25.50034	82.27102
131	137	25.499215	82.265457
132	138	25.514838	82.24678
133	139	25.508207	82.260288
134	140	25.515287	82.247542
135	141	25.514931	82.248486
136	142	25.491626	82.309456
137	143	25.494086	82.305186
138	144	25.494769	82.278539
139	145	25.494016	82.279351
140	146	25.494964	82.282038
141	147	25.509644	82.321123
142	148	25.513945	82.238662
143	149	25.511479	82.246883
144	150	25.514319	82.265313
145	151	25.499697	82.279585
146	152	25.497188	82.268328
147	153	25.51448	82.258496
148	154	25.50096	82.28632
149	156	25.500776	82.29702
150	157	25.506074	82.273236
151	158	25.502969	82.293054
152	159	25.502587	82.288911
153	160	25.498981	82.332348
154	161	25.508382	82.32254
155	162	25.508515	82.322719
156	163	25.501108	82.314164
157	164	25.52231	82.220271
158	165	25.514461	82.228026
159	166	25.521047	82.232468
160	167	25.516554	82.239503
161	168	25.514735	82.246201
162	169	25.510831	82.245306
163	170	25.503361	82.248412
164	171	25.503724	82.253006
165	172	25.504425	82.253312
166	173	25.504825	82.253636
167	174	25.505038	82.264774
168	175	25.492132	82.280977
169	176	25.493964	82.285489
170	177	25.494401	82.316397
171	178	25.508892	82.324085
172	179	25.496841	82.330634
173	180	25.51631	82.335716
174	181	25.505343	82.320221
175	182	25.502934	82.337627
176	183	25.500155	82.278402
177	184	25.505216	82.277573
178	185	25.503465	82.27374
179	186	25.499734	82.269522
180	187	25.524122	82.228108
181	188	25.51658	82.227577
182	189	25.512331	82.249405
183	190	25.511879	82.249363
184	191	25.499158	82.315149
185	192	25.504346	82.335206
186	193	25.496622	82.33718
187	194	25.517252	82.227529
1	195	25.52481	82.217899
2	196	25.518436	82.333019
3	198	25.495165	82.335551
